,pubmedID,title,fullAuthorEdited
0,34937726,Characteristics and outcomes of patients with COVID-19 with and without prevalent hypertension: a multinational cohort study.,'Carlen Reyes' 'Andrea Pistillo' 'Sergio Fernandez-Bertolin' 'Martina Recalde' 'Elena Roel' 'Diana Puente' 'Anthony G Sena' 'Clair Blacketer' 'Lana Lai' 'Thamir M Alshammari' 'Waheed-Ui-Rahman Ahmed' 'Osaid Alser' 'Heba Alghoul' 'Carlos Areia' 'Dalia Dawoud' 'Albert Prats-Uribe' 'Neus Valveny' 'Gabriel de Maeztu' 'Luisa Sorli Redo' 'Jordi Martinez Roldan' 'Inmaculada Lopez Montesinos' 'Lisa M Schilling' 'Asieh Golozar' 'Christian Reich' 'Jose D Posada' 'Nigam Shah' 'Seng Chan You' 'Kristine E Lynch' 'Scott L DuVall' 'Michael E Matheny' 'Fredrik Nyberg' 'Anna Ostropolets' 'George Hripcsak' 'Peter R Rijnbeek' 'Marc A Suchard' 'Patrick Ryan' 'Kristin Kostka' 'Talita Duarte-Salles'
1,34930903,Predictors of diagnostic transition from major depressive disorder to bipolar disorder: a retrospective observational network study.,'Anastasiya Nestsiarovich' 'Jenna M Reps' 'Michael E Matheny' 'Scott L DuVall' 'Kristine E Lynch' 'Maura Beaton' 'Xinzhuo Jiang' 'Matthew Spotnitz' 'Stephen R Pfohl' 'Nigam H Shah' 'Carmen Olga Torre' 'Christian G Reich' 'Dong Yun Lee' 'Sang Joon Son' 'Seng Chan You' 'Rae Woong Park' 'Patrick B Ryan' 'Christophe G Lambert'
2,34870731,"90-Day all-cause mortality can be predicted following a total knee replacement: an international, network study to develop and validate a prediction model.",'Ross D Williams' 'Jenna M Reps' 'Peter R Rijnbeek' 'Patrick B Ryan' 'Daniel Prieto-Alhambra'
3,34795082,Transfer of Clinical Drug Data to a Research Infrastructure on OMOP - A FAIR Concept.,'Ines Reinecke' 'Michele Zoch' 'Markus Wilhelm' 'Martin Sedlmayr' 'Franziska Bathelt'
4,34795074,Automatic Data Transfer from OMOP-CDM to REDCap: A Semantically-Enriched Framework.,'Emanuele Girani' 'Matteo Gabetta' 'Anna Alloni' 'Morena Stuppia' 'Lucia Sacchi' 'Nicola Barbarini'
5,34714250,Transforming Anesthesia Data Into the Observational Medical Outcomes Partnership Common Data Model: Development and Usability Study.,'Antoine Lamer' 'Osama Abou-Arab' 'Alexandre Bourgeois' 'Adrien Parrot' 'Benjamin Popoff' 'Jean-Baptiste Beuscart' 'Benoit Tavernier' 'Mouhamed Djahoum Moussa'
6,34590684,Synergies between centralized and federated approaches to data quality: a report from the national COVID cohort collaborative.,'Emily R Pfaff' 'Andrew T Girvin' 'Davera L Gabriel' 'Kristin Kostka' 'Michele Morris' 'Matvey B Palchuk' 'Harold P Lehmann' 'Benjamin Amor' 'Mark Bissell' 'Katie R Bradwell' 'Sigfried Gold' 'Stephanie S Hong' 'Johanna Loomba' 'Amin Manna' 'Julie A McMurry' 'Emily Niehaus' 'Nabeel Qureshi' 'Anita Walden' 'Xiaohan Tanner Zhang' 'Richard L Zhu' 'Richard A Moffitt' 'Melissa A Haendel' 'Christopher G Chute' 'William G Adams' 'Shaymaa Al-Shukri' 'Alfred Anzalone' 'Ahmad Baghal' 'Tellen D Bennett' 'Elmer V Bernstam' 'Elmer V Bernstam' 'Mark M Bissell' 'Brian Bush' 'Thomas R Campion' 'Victor Castro' 'Jack Chang' 'Deepa D Chaudhari' 'Wenjin Chen' 'San Chu' 'James J Cimino' 'Keith A Crandall' 'Mark Crooks' 'Sara J Deakyne Davies' 'John DiPalazzo' 'David Dorr' 'Dan Eckrich' 'Sarah E Eltinge' 'Daniel G Fort' 'George Golovko' 'Snehil Gupta' 'Melissa A Haendel' 'Janos G Hajagos' 'David A Hanauer' 'Brett M Harnett' 'Ronald Horswell' 'Nancy Huang' 'Steven G Johnson' 'Michael Kahn' 'Kamil Khanipov' 'Curtis Kieler' 'Katherine Ruiz De Luzuriaga' 'Sarah Maidlow' 'Ashley Martinez' 'Jomol Mathew' 'James C McClay' 'Gabriel McMahan' 'Brian Melancon' 'Stephane Meystre' 'Lucio Miele' 'Hiroki Morizono' 'Ray Pablo' 'Lav Patel' 'Jimmy Phuong' 'Daniel J Popham' 'Claudia Pulgarin' 'Carlos Santos' 'Indra Neil Sarkar' 'Nancy Sazo' 'Soko Setoguchi' 'Selvin Soby' 'Sirisha Surampalli' 'Christine Suver' 'Uma Maheswara Reddy Vangala' 'Shyam Visweswaran' 'James von Oehsen' 'Kellie M Walters' 'Laura Wiley' 'David A Williams' 'Adrian Zai'
7,34560604,A standardized analytics pipeline for reliable and rapid development and validation of prediction models using observational health data.,'Sara Khalid' 'Cynthia Yang' 'Clair Blacketer' 'Talita Duarte-Salles' 'Sergio Fernandez-Bertolin' 'Chungsoo Kim' 'Rae Woong Park' 'Jimyung Park' 'Martijn J Schuemie' 'Anthony G Sena' 'Marc A Suchard' 'Seng Chan You' 'Peter R Rijnbeek' 'Jenna M Reps'
8,34545824,The Usage of OHDSI OMOP - A Scoping Review.,'Ines Reinecke' 'Michele Zoch' 'Christian Reich' 'Martin Sedlmayr' 'Franziska Bathelt'
9,34267326,"Characteristics and outcomes of 627 044 COVID-19 patients living with and without obesity in the United States, Spain, and the United Kingdom.",'Martina Recalde' 'Elena Roel' 'Andrea Pistillo' 'Anthony G Sena' 'Albert Prats-Uribe' 'Waheed-Ul-Rahman Ahmed' 'Heba Alghoul' 'Thamir M Alshammari' 'Osaid Alser' 'Carlos Areia' 'Edward Burn' 'Paula Casajust' 'Dalia Dawoud' 'Scott L DuVall' 'Thomas Falconer' 'Sergio Fernandez-Bertolin' 'Asieh Golozar' 'Mengchun Gong' 'Lana Yin Hui Lai' 'Jennifer C E Lane' 'Kristine E Lynch' 'Michael E Matheny' 'Paras P Mehta' 'Daniel R Morales' 'Karthik Natarjan' 'Fredrik Nyberg' 'Jose D Posada' 'Christian G Reich' 'Peter R Rijnbeek' 'Lisa M Schilling' 'Karishma Shah' 'Nigam H Shah' 'Vignesh Subbian' 'Lin Zhang' 'Hong Zhu' 'Patrick Ryan' 'Daniel Prieto-Alhambra' 'Kristin Kostka' 'Talita Duarte-Salles'
