name	paperCount	firstYear
Abanos, S	3	2023
Abbott, T	3	2024
Abellan, A	3	2024
Abeysinghe, R	2	2022
Abolina, I	3	2024
Abrahamsen, B	4	2020
Abrahao, M	5	2020
Adams, W	3	2022
Adekkanattu, P	2	2019
Ahmadi, N	6	2021
Ahmed, W	9	2021
Ahn, E	3	2016
Ahn, S	4	2021
Aizenstein, H	2	2020
Akbari, A	2	2022
Al-Shukri, S	2	2020
Albers, D	3	2017
Albogami, Y	2	2023
Alghoul, H	13	2020
Allakhverdiiev, E	2	2021
Alloni, A	3	2021
Almeida, J	5	2021
Alonso, J	2	2024
Alonso, S	2	2021
Alser, O	13	2020
Alshammari, T	24	2020
Álvarez, E	2	2024
Álvarez-Lacalle, E	2	2021
Amadi, D	4	2024
Amigo, F	2	2024
Aminorroaya, A	5	2023
Amor, B	4	2021
Amutha, A	3	2021
Anand, A	3	2021
Anand, T	3	2024
Ancker, J	2	2019
Andreescu, C	2	2020
Andryc, A	2	2022
Anzalone, A	2	2022
Aragon, M	10	2020
Areia, C	16	2020
Arensman, E	2	2024
Argyriou, G	2	2020
Arinze, J	2	2024
Arshad, F	7	2021
Asch, D	5	2022
Asiimwe, A	3	2022
Asselbergs, F	2	2021
Austin, C	2	2021
Averitt, A	2	2020
Avilés-Jurado, F	2	2021
Avillach, P	2	2016
Bacci, S	3	2024
Baek, H	9	2020
Baghal, A	2	2020
Bahroos, N	2	2023
Bailey, L	4	2014
Bakhshi-Raiez, F	3	2022
Banda, J	20	2016
Barbarini, N	2	2021
Barboza, C	2	2024
Barclay, N	4	2024
Bardenheuer, K	3	2022
Barletta, V	2	2016
Barnard, J	2	2016
Bartos, M	2	2022
Barzdina, E	3	2024
Bate, A	6	2013
Bathelt, F	17	2021
Bauck, A	3	2016
Baumgartner, M	2	2024
Baumgartner, W	3	2023
Baxter, R	2	2022
Baxter, S	6	2023
Beaton, M	2	2021
Becich, M	4	2021
Beck, J	2	2025
Beggs, J	2	2022
Belenkaya, R	5	2019
Bell, D	2	2014
Bellentani, M	3	2016
Benichou, J	3	2020
Bennett, T	7	2021
Benoit, B	3	2019
Bergin, C	3	2024
Bergquist, T	2	2021
Berlin, J	12	2013
Berman, L	2	2024
Bernarding, J	2	2018
Bertolin, S	2	2021
Beuscart, J	3	2020
Beyer, K	2	2024
Beyer, S	2	2024
Bhargav, M	2	2024
Bhattacharjee, T	5	2023
Bian, J	8	2020
Biedermann, P	3	2020
Birch, R	2	2020
Bissell, M	4	2021
Bjartell, A	3	2024
Bjureberg, J	2	2024
Black, A	4	2022
Blacketer, C	29	2019
Blaisure, J	2	2017
Blasini, R	6	2020
Blau, H	2	2022
Blecker, S	2	2025
Blin, P	3	2020
Boeker, M	3	2018
Boland, M	13	2015
Bonù, M	2	2019
Boo, D	4	2022
Borghetti, P	2	2019
Bosca, D	2	2023
Bouzillé, G	3	2022
Bowring, M	3	2023
Boyce, R	6	2014
Boyle, D	2	2024
Bracons Cucó, G	4	2023
Bradford, R	2	2020
Bradley, D	2	2022
Bradwell, K	4	2021
Brand, M	5	2021
Brandt, E	2	2017
Brandt, P	2	2019
Brash, J	6	2023
Bräuner, K	3	2022
Breant, S	2	2020
Bremer, C	2	2021
Briganti, A	2	2024
Brolin, K	3	2024
Brooks, I	2	2022
Brown, J	7	2015
Bu, F	11	2023
Bunnell, H	3	2022
Buresh, J	2	2022
Burkard, T	6	2019
Burn, E	34	2019
Burrows, E	2	2017
Butler, A	8	2018
Butte, A	3	2019
Byford, R	2	2020
Cai, C	5	2023
Callahan, A	5	2018
Callahan, T	9	2016
Campi, R	2	2024
Campion, T	2	2020
Cappelletti, L	2	2022
Carrell, D	2	2019
Carroll, R	6	2017
Carter, W	3	2021
Carus, J	2	2023
Casajust, P	12	2020
Casiraghi, E	3	2022
Castano, V	2	2022
Catala, M	14	2021
Cepeda, M	6	2018
Ceusters, W	2	2017
Cha, J	8	2021
Chae, S	2	2020
Chai, Y	6	2021
Chakrabarti, S	2	2016
Chan You, S	4	2021
Chan, E	2	2024
Chang, D	4	2021
Chang, H	2	2020
Chang, T	2	2024
Chattopadhyay, S	2	2024
Chazard, E	2	2020
Chen, A	2	2025
Chen, E	2	2025
Chen, J	13	2020
Chen, L	2	2025
Chen, R	12	2019
Chen, W	2	2020
Chen, X	2	2022
Chen, Y	26	2020
Chen, Z	5	2021
Cheong, J	4	2021
Chia-Cheng Lai, E	2	2018
Cho, J	11	2017
Cho, M	2	2023
Cho, S	9	2016
Cho, W	2	2021
Choi, B	8	2022
Choi, H	3	2022
Choi, I	6	2022
Choi, J	10	2016
Choi, S	10	2020
Choi, W	2	2023
Choi, Y	4	2020
Chrischilles, E	3	2025
Christakis, D	5	2025
Chui, C	2	2023
Chung, E	2	2024
Chung, W	2	2022
Chung, Y	5	2021
Chute, C	11	2021
Chuter, A	2	2022
Chytas, A	4	2023
Cimino, J	5	2013
Cisneros, M	3	2024
Clark, E	2	2024
Clausen, J	2	2022
Clusa Cuesta, L	3	2024
Cohet, C	2	2022
Colborn, K	2	2020
Cole, C	2	2022
Coleman, B	3	2022
Collins, G	2	2022
Coloma, P	5	2012
Coma, E	2	2021
Conde, S	2	2024
Conover, M	10	2020
Cook, M	4	2023
Cooper, C	2	2020
Corby, G	2	2024
Cornet, R	7	2022
Cornford, P	3	2024
Cowell, L	2	2025
Cox, S	2	2022
Craig, R	2	2020
Craiu, M	2	2024
Cricelli, I	2	2016
Cuccu, Z	3	2023
Cuggia, M	3	2022
Cui, L	3	2022
Culhane, A	3	2020
D'Agostino, R	3	2021
Dabelea, D	3	2021
Dahm, L	2	2014
Dal Co, G	2	2016
Daniel, C	3	2020
Danilovic, A	2	2023
Datta, D	2	2019
Davidson, B	2	2015
Davydov, A	6	2020
Dawoud, D	11	2021
Daza, J	2	2023
De Gaetano Donati, K	2	2024
de Groot, R	4	2023
De Keizer, N	6	2022
de Lusignan, S	3	2018
de Maeztu, G	2	2021
De Meulder, B	3	2024
de Ridder, M	3	2022
de Wilde, M	5	2020
Dedman, D	5	2020
Deer, R	2	2022
Defalco, F	22	2013
Dekker, A	2	2024
Delange, B	3	2024
