,countryOfPub,nlmID,pubmedID,pmcID,locID,language,grantNum,affiliation,fullAuthor,source,creationDate,journalTitle,abstract,title,meshT,googleScholar,backfill
0,England,9208369,20945505,,10.1002/pds.2051 [doi],['eng'],,"['Department of Medical Informatics, Erasmus University Medical Center Rotterdam, Rotterdam, The Netherlands. m.schuemie@erasmusmc.nl']","['Schuemie, Martijn J']",Pharmacoepidemiol Drug Saf. 2011 Mar;20(3):292-9. doi: 10.1002/pds.2051. Epub 2010 Oct 13.,2010/10/15 06:00,Pharmacoepidemiology and drug safety,"PURPOSE: There is a growing interest in using longitudinal observational databases for drug safety signal detection, but most of the existing statistical methods are tailored towards spontaneous reporting. Here a sequential set of methods for detecting and filtering drug safety signals in longitudinal databases is presented. METHOD: Longitudinal GPS (LGPS) is a modification of the Gamma Poisson Shrinker (GPS) that uses person time rather than case counts for the estimation of the expected number of events. Longitudinal Evaluation of Observational Profiles of Adverse events Related to Drugs (LEOPARD) is a method that can be used to automatically discard false drug-event associations caused by protopathic bias or misclassification of the dates of the adverse events by comparing prior event prescription rates to post event prescription rates. LEOPARD can generate a single test statistic, or a visualization that can be used for more qualitative information on the relationship between drug and event. Both methods were evaluated using data simulated using the Observational medical dataset SIMulator (OSIM), including the dataset used in the Observational Medical Outcomes Partnership (OMOP) cup, a recent public competition for signal detection methods. The Mean Average Precision (MAP) was used for performance measurement. RESULTS: On the OMOP cup data, LGPS achieved a MAP of 0.245, and the combination of LGPS and LEOPARD achieved a MAP of 0.260, the highest score in the competition. CONCLUSIONS: The sequential use of LGPS and LEOPARD have proven to be a useful novel set of methods for drug safety signal detection on longitudinal health records.",Methods for drug safety signal detection in longitudinal observational databases: LGPS and LEOPARD.,"['Adverse Drug Reaction Reporting Systems/*statistics & numerical data', 'Databases, Factual/*statistics & numerical data', 'Drug-Related Side Effects and Adverse Reactions/*epidemiology', 'Humans', 'Longitudinal Studies', 'Models, Statistical']",,
1,United States,0372351,21041580,,10.7326/0003-4819-153-9-201011020-00010 [doi],['eng'],,"['Johnson & Johnson Pharmaceutical Research and Development, Titusville, New Jersey 08560, USA. PStang@its.jnj.com']","['Stang, Paul E', 'Ryan, Patrick B', 'Racoosin, Judith A', 'Overhage, J Marc', 'Hartzema, Abraham G', 'Reich, Christian', 'Welebob, Emily', 'Scarnecchia, Thomas', 'Woodcock, Janet']",Ann Intern Med. 2010 Nov 2;153(9):600-6. doi: 10.7326/0003-4819-153-9-201011020-00010.,2010/11/03 06:00,Annals of internal medicine,"The U.S. Food and Drug Administration (FDA) Amendments Act of 2007 mandated that the FDA develop a system for using automated health care data to identify risks of marketed drugs and other medical products. The Observational Medical Outcomes Partnership is a public-private partnership among the FDA, academia, data owners, and the pharmaceutical industry that is responding to the need to advance the science of active medical product safety surveillance by using existing observational databases. The Observational Medical Outcomes Partnership's transparent, open innovation approach is designed to systematically and empirically study critical governance, data resource, and methodological issues and their interrelationships in establishing a viable national program of active drug safety surveillance by using observational data. This article describes the governance structure, data-access model, methods-testing approach, and technology development of this effort, as well as the work that has been initiated.",Advancing the science for active surveillance: rationale and design for the Observational Medical Outcomes Partnership.,"['*Databases, Factual', 'Drug Industry/*organization & administration', 'Humans', 'Medical Informatics/organization & administration', 'Product Surveillance, Postmarketing/*methods', 'Public-Private Sector Partnerships/*organization & administration', 'Software', 'United States', 'United States Food and Drug Administration/legislation & jurisprudence/*organization & administration', 'Universities/*organization & administration']",,
2,England,9430800,22037893,PMC3240764,10.1136/amiajnl-2011-000376 [doi],['eng'],,"['Regenstrief Institute, Indiana University, School of Medicine, Indianapolis, Indiana, USA. moverhage@regenstrief.org']","['Overhage, J Marc', 'Ryan, Patrick B', 'Reich, Christian G', 'Hartzema, Abraham G', 'Stang, Paul E']",J Am Med Inform Assoc. 2012 Jan-Feb;19(1):54-60. doi: 10.1136/amiajnl-2011-000376. Epub 2011 Oct 28.,2011/11/01 06:00,Journal of the American Medical Informatics Association : JAMIA,"OBJECTIVE: Systematic analysis of observational medical databases for active safety surveillance is hindered by the variation in data models and coding systems. Data analysts often find robust clinical data models difficult to understand and ill suited to support their analytic approaches. Further, some models do not facilitate the computations required for systematic analysis across many interventions and outcomes for large datasets. Translating the data from these idiosyncratic data models to a common data model (CDM) could facilitate both the analysts' understanding and the suitability for large-scale systematic analysis. In addition to facilitating analysis, a suitable CDM has to faithfully represent the source observational database. Before beginning to use the Observational Medical Outcomes Partnership (OMOP) CDM and a related dictionary of standardized terminologies for a study of large-scale systematic active safety surveillance, the authors validated the model's suitability for this use by example. VALIDATION BY EXAMPLE: To validate the OMOP CDM, the model was instantiated into a relational database, data from 10 different observational healthcare databases were loaded into separate instances, a comprehensive array of analytic methods that operate on the data model was created, and these methods were executed against the databases to measure performance. CONCLUSION: There was acceptable representation of the data from 10 observational databases in the OMOP CDM using the standardized terminologies selected, and a range of analytic methods was developed and executed with sufficient performance to be useful for active safety surveillance.",Validation of a common data model for active safety surveillance research.,"['Adverse Drug Reaction Reporting Systems', '*Databases, Factual', 'Health Services Research', 'Humans', 'Models, Theoretical', 'Observation', '*Pharmacovigilance', 'Terminology as Topic']",,
3,England,9208369,22262596,,10.1002/pds.2321 [doi],['eng'],,"['Department of Epidemiology, The University of Iowa College of Public Health, Iowa City, IA 52242, USA. ryan-carnahan@uiowa.edu']","['Carnahan, Ryan M', 'Moores, Kevin G']",Pharmacoepidemiol Drug Saf. 2012 Jan;21 Suppl 1:82-9. doi: 10.1002/pds.2321.,2012/01/21 06:00,Pharmacoepidemiology and drug safety,"PURPOSE: To overview the methods used in the Mini-Sentinel systematic reviews of validation studies of algorithms to identify health outcomes in administrative and claims data and to describe lessons learned in the development of search strategies, including their ability to identify articles from previous systematic reviews which used different search strategies. METHODS: Literature searches were conducted using PubMed and the citation database of the Iowa Drug Information Service. Embase was searched for some outcomes. The searches were based on a strategy developed by the Observational Medical Outcomes Partnership (OMOP) researchers. All citations were reviewed by two investigators. Exclusion criteria were applied at abstract and full-text review stages to ultimately identify algorithm validation studies that used data sources from the USA or Canada, as the results of these studies were considered most likely to generalize to Mini-Sentinel data. Nonvalidated algorithms were reviewed if fewer than five algorithm validation studies were identified. RESULTS: The results of this project are described in the separate articles and reports written on algorithms to identify each outcome of interest. CONCLUSIONS: The Mini-Sentinel systematic reviews of algorithms to identify health outcomes in administrative and claims data are expected to be relatively complete, despite some limitations. Algorithm validation studies are inconsistently indexed in PubMed, creating challenges in conducting systematic reviews of these studies. Google Scholar searches, which can perform text word searches of electronically available articles, are suggested as a strategy to identify studies that are not captured through searches of standard citation databases.",Mini-Sentinel's systematic reviews of validated methods for identifying health outcomes using administrative and claims data: methods and lessons learned.,"['Algorithms', 'Databases, Factual', 'Drug-Related Side Effects and Adverse Reactions', 'Equipment and Supplies/adverse effects', 'Humans', 'Insurance Claim Review/statistics & numerical data', 'Outcome Assessment, Health Care/*methods/statistics & numerical data', 'Pilot Projects', 'Product Surveillance, Postmarketing/*methods', '*Review Literature as Topic', 'United States', 'United States Food and Drug Administration', '*Validation Studies as Topic']",,
4,United States,100970413,22683994,,10.1016/j.jbi.2012.05.002 [doi],['eng'],,"['Observational Medical Outcomes Partnership, Foundation for the National Institutes of Health, 9650 Rockville Pike, Bethesda, MD 20814, USA. reich@omop.org']","['Reich, Christian', 'Ryan, Patrick B', 'Stang, Paul E', 'Rocca, Mitra']",J Biomed Inform. 2012 Aug;45(4):689-96. doi: 10.1016/j.jbi.2012.05.002. Epub 2012 Jun 7.,2012/06/12 06:00,Journal of biomedical informatics,"Large electronic databases of health care information, such as administrative claims and electronic health records, are available and are being used in a number of public health settings, including drug safety surveillance. However, because of a lack of standardization, clinical terminologies may differ across databases. With the aid of existing resources and expert coders, we have developed mapping tables to convert ICD-9-CM diagnosis codes used in some existing databases to SNOMED-CT and MedDRA. In addition, previously developed definitions for specific health outcomes of interest were mapped to the same standardized vocabularies. We evaluated how vocabulary mapping affected (1) the retention of clinical data from two test databases, (2) the semantic space of outcome definitions, (3) the prevalence of each outcome in the test databases, and (4) the reliability of analytic methods designed to detect drug-outcome associations in the test databases. Although vocabulary mapping affected the semantic space of some outcome definitions, as well as the prevalence of some outcomes in the test databases, it had only minor effects on the analysis of drug-outcome associations. Furthermore, both SNOMED-CT and MedDRA were viable for use as standardized vocabularies in systems designed to perform active medical product surveillance using disparate sources of observational data.",Evaluation of alternative standardized terminologies for medical conditions within a network of observational healthcare databases.,"['Clinical Coding/*standards', 'Databases, Factual', 'Electronic Health Records/*standards', 'Humans', 'Semantics', 'Terminology as Topic', '*Vocabulary, Controlled']",,
5,England,8215016,23015364,,10.1002/sim.5620 [doi],['eng'],,"['Johnson & Johnson Pharmaceutical Research and Development LLC, Titusville, NJ 08560, USA. ryan@omop.org']","['Ryan, Patrick B', 'Madigan, David', 'Stang, Paul E', 'Overhage, J Marc', 'Racoosin, Judith A', 'Hartzema, Abraham G']",Stat Med. 2012 Dec 30;31(30):4401-15. doi: 10.1002/sim.5620. Epub 2012 Sep 27.,2012/09/28 06:00,Statistics in medicine,"BACKGROUND: Expanded availability of observational healthcare data (both administrative claims and electronic health records) has prompted the development of statistical methods for identifying adverse events associated with medical products, but the operating characteristics of these methods when applied to the real-world data are unknown. METHODS: We studied the performance of eight analytic methods for estimating of the strength of association-relative risk (RR) and associated standard error of 53 drug-adverse event outcome pairs, both positive and negative controls. The methods were applied to a network of ten observational healthcare databases, comprising over 130 million lives. Performance measures included sensitivity, specificity, and positive predictive value of methods at RR thresholds achieving statistical significance of p < 0.05 or p < 0.001 and with absolute threshold RR > 1.5, as well as threshold-free measures such as area under receiver operating characteristic curve (AUC). RESULTS: Although no specific method demonstrated superior performance, the aggregate results provide a benchmark and baseline expectation for risk identification method performance. At traditional levels of statistical significance (RR > 1, p < 0.05), all methods have a false positive rate >18%, with positive predictive value <38%. The best predictive model, high-dimensional propensity score, achieved an AUC  =  0.77. At 50% sensitivity, false positive rate ranged from 16% to 30%. At 10% false positive rate, sensitivity of the methods ranged from 9% to 33%. CONCLUSIONS: Systematic processes for risk identification can provide useful information to supplement an overall safety assessment, but assessment of methods performance suggests a substantial chance of identifying false positive associations.",Empirical assessment of methods for risk identification in healthcare data: results from the experiments of the Observational Medical Outcomes Partnership.,"['Causality', '*Drug-Related Side Effects and Adverse Reactions', 'Electronic Health Records/*statistics & numerical data', 'Humans', 'Insurance Claim Review/statistics & numerical data', 'Pharmacoepidemiology/*methods/statistics & numerical data', 'Product Surveillance, Postmarketing/*methods/statistics & numerical data', 'Risk Assessment/methods']",,
6,New Zealand,9002928,23329543,,10.1007/s40264-012-0009-3 [doi],['eng'],,"['Epidemiology, Worldwide Safety Strategy, Pfizer, 219 E 42nd Street, Mail Stop 219/9/01, New York, NY 10017, USA. xiaofeng.zhou@pfizer.com']","['Zhou, Xiaofeng', 'Murugesan, Sundaresan', 'Bhullar, Harshvinder', 'Liu, Qing', 'Cai, Bing', 'Wentworth, Chuck', 'Bate, Andrew']",Drug Saf. 2013 Feb;36(2):119-34. doi: 10.1007/s40264-012-0009-3.,2013/01/19 06:00,Drug safety,"BACKGROUND: There has been increased interest in using multiple observational databases to understand the safety profile of medical products during the postmarketing period. However, it is challenging to perform analyses across these heterogeneous data sources. The Observational Medical Outcome Partnership (OMOP) provides a Common Data Model (CDM) for organizing and standardizing databases. OMOP's work with the CDM has primarily focused on US databases. As a participant in the OMOP Extended Consortium, we implemented the OMOP CDM on the UK Electronic Healthcare Record database-The Health Improvement Network (THIN). OBJECTIVE: The aim of the study was to evaluate the implementation of the THIN database in the OMOP CDM and explore its use for active drug safety surveillance. METHODS: Following the OMOP CDM specification, the raw THIN database was mapped into a CDM THIN database. Ten Drugs of Interest (DOI) and nine Health Outcomes of Interest (HOI), defined and focused by the OMOP, were created using the CDM THIN database. Quantitative comparison of raw THIN to CDM THIN was performed by execution and analysis of OMOP standardized reports and additional analyses. The practical value of CDM THIN for drug safety and pharmacoepidemiological research was assessed by implementing three analysis methods: Proportional Reporting Ratio (PRR), Univariate Self-Case Control Series (USCCS) and High-Dimensional Propensity Score (HDPS). A published study using raw THIN data was selected to examine the external validity of CDM THIN. RESULTS: Overall demographic characteristics were the same in both databases. Mapping medical and drug codes into the OMOP terminology dictionary was incomplete: 25 % medical codes and 55 % drug codes in raw THIN were not listed in the OMOP terminology dictionary, representing 6 % condition occurrence counts, 4 % procedure occurrence counts and 7 % drug exposure counts in raw THIN. Seven DOIs had <0.3 % and three DOIs had 1 % of unmapped drug exposure counts; each HOI had at least one definition with no or minimal (</=0.2 %) issues with unmapped condition occurrence counts, except for the upper gastrointestinal (UGI) ulcer hospitalization cohort. The application of PRR, USCCS and HDPS found, respectively, a sensitivity of 67, 78 and 50 %, and a specificity of 68, 59 and 76 %, suggesting that safety issues defined as known by the OMOP could be identified in CDM THIN, with imperfect performance. Similar PRR scores were produced using both CDM THIN and raw THIN, while the execution time was twice as fast on CDM THIN. There was close replication of demographic distribution, death rate and prescription pattern and trend in the published study population and the cohort of CDM THIN. CONCLUSIONS: This research demonstrated that information loss due to incomplete mapping of medical and drug codes as well as data structure in the current CDM THIN limits its use for all possible epidemiological evaluation studies. Current HOIs and DOIs predefined by the OMOP were constructed with minimal loss of information and can be used for active surveillance methodological research. The OMOP CDM THIN can be a valuable tool for multiple aspects of pharmacoepidemiological research when the unique features of UK Electronic Health Records are incorporated in the OMOP library.",An evaluation of the THIN database in the OMOP Common Data Model for active drug safety surveillance.,"['Adverse Drug Reaction Reporting Systems/*standards', 'Data Collection', 'Databases, Factual/*standards', 'Electronic Health Records/*standards', 'Humans', 'United Kingdom']",,
7,Netherlands,9815809,23396660,PMC3566397,,['eng'],,"['Janssen Pharmaceutical Research & Development, L.L.C. 920 Route 202, Raritan, NJ 08869 USA.']","['Defalco, Frank J', 'Ryan, Patrick B', 'Soledad Cepeda, M']",Health Serv Outcomes Res Methodol. 2013 Mar;13(1):58-67. doi: 10.1007/s10742-012-0102-1. Epub 2012 Oct 27.,2013/02/12 06:00,Health services & outcomes research methodology,"Observational healthcare databases represent a valuable resource for health economics, outcomes research, quality of care, drug safety, epidemiology and comparative effectiveness research. The methods used to identify a population for study in an observational healthcare database with the desired drug exposures of interest are complex and not consistent nor apparent in the published literature. Our research evaluates three drug classification systems and their impact on prevalence in the analysis of observational healthcare databases using opioids as a case in point. The standard terminologies compiled in the Observational Medical Outcomes Partnership's Common Data Model vocabulary were used to facilitate the identification of populations with opioid exposures. This study analyzed three distinct observational healthcare databases and identified patients with at least one exposure to an opioid as defined by drug codes derived through the application of three classification systems. Opioid code sets were created for each of the three classification systems and the number of identified codes was summarized. We estimated the prevalence of opioid exposure in three observational healthcare databases using the three defined code sets. In addition we compared the number of drug codes and distinct ingredients that were identified using these classification systems. We found substantial variation in the prevalence of opioid exposure identified using an individual classification system versus a composite method using multiple classification systems. To ensure transparent and reproducible research publications should include a description of the process used to develop code sets and the complete code set used in studies.",Applying standardized drug terminologies to observational healthcare databases: a case study on opioid exposure.,,,
8,England,9208369,23408560,,10.1002/pds.3419 [doi],['eng'],,"['Division of Biostatistics, Indiana University School of Medicine, Indianapolis, IN 46202, USA. xiaochun@iupui.edu']","['Li, Xiaochun', 'Hui, Siu', 'Ryan, Patrick', 'Rosenman, Marc', 'Overhage, Marc']",Pharmacoepidemiol Drug Saf. 2013 May;22(5):503-9. doi: 10.1002/pds.3419. Epub 2013 Feb 14.,2013/02/15 06:00,Pharmacoepidemiology and drug safety,"PURPOSE: The success of an epidemiological study for drug safety surveillance or comparative effectiveness depends largely on design and analysis strategies besides data quality. The Observational Medical Outcomes Partnership (OMOP) methods community implemented a collection of statistical methods with extensive parameters allowing a wide variety of designs and analyses. Our objective was to develop a visualization tool to explore which parameter settings may enable better predictive properties for a given method in a database. METHODS: Performance measures were produced for each setting, including sensitivity (recall), specificity (1-FPR), AUC, MAP, and P(k). Multiple regressions with relevant parameters as main effects were run for performance measures on all test cases and subgroups. Heatmaps with sequential palettes to indicate the parameters' impacts on performance measures were generated based on matrices of the standardized coefficients (t-statistics) by parameter settings and test case subgroups. RESULTS: Heatmaps help researchers to explore design and analysis options of methods for evaluating a variety of drug-outcome relationships and also to explore data issues. CONCLUSIONS: Statistical visualization through heatmaps is a useful tool for summarizing and presenting method performance results and for the exploration of the parameter settings for method performance characteristics and data limitations.",Statistical visualization for assessing performance of methods for safety surveillance using electronic databases.,"['Adverse Drug Reaction Reporting Systems/standards/*statistics & numerical data', 'Databases, Factual/standards/*statistics & numerical data', 'Humans', 'Pharmacoepidemiology/*methods', 'Predictive Value of Tests', 'Product Surveillance, Postmarketing/methods', 'Regression Analysis', 'Sensitivity and Specificity']",,
9,England,8215016,23413214,,10.1002/sim.5699 [doi],['eng'],,,"['Gagne, Joshua J', 'Schneeweiss, Sebastian']",Stat Med. 2013 Mar 15;32(6):1073-4. doi: 10.1002/sim.5699.,2013/02/16 06:00,Statistics in medicine,,Comment on 'empirical assessment of methods for risk identification in healthcare data: results from the experiments of the Observational Medical Outcomes Partnership'.,"['*Drug-Related Side Effects and Adverse Reactions', 'Electronic Health Records/*statistics & numerical data', 'Humans', 'Pharmacoepidemiology/*methods', 'Product Surveillance, Postmarketing/*methods']",,
