author,Methodological research,Open source development,Clinical evidence generation,Open community data standards,paperCount
"Ryan, P",58,7,36,20,121
"Hripcsak, G",32,3,33,8,76
"Schuemie, M",38,6,19,10,73
"Park, R",9,5,26,15,55
"Reich, C",12,1,25,17,55
"Rijnbeek, P",15,8,21,8,52
"Suchard, M",24,4,24,0,52
"Kim, J",7,1,23,14,45
"You, S",7,2,23,13,45
"Prieto-Alhambra, D",7,1,24,4,36
"Shah, N",8,3,18,6,35
"Duarte-Salles, T",6,3,22,1,32
"Ostropolets, A",8,1,18,4,31
"Kostka, K",7,0,21,2,30
"Weng, C",13,3,2,10,28
"Matheny, M",2,1,20,4,27
"Kim, S",3,0,15,8,26
"Sedlmayr, M",2,4,0,20,26
"Falconer, T",7,1,16,1,25
"Madigan, D",17,1,5,1,24
"Sena, A",2,2,20,0,24
"Alshammari, T",5,0,17,1,23
"DuVall, S",2,0,17,4,23
"Reps, J",12,4,6,1,23
"Morales, D",2,0,20,0,22
"Natarajan, K",3,0,12,7,22
"Williams, A",6,0,9,7,22
"Nyberg, F",6,0,15,0,21
"Park, J",1,3,14,3,21
"Tatonetti, N",9,2,7,3,21
"Burn, E",2,1,13,4,20
"Lee, S",2,1,12,5,20
"Lynch, K",2,0,16,2,20
"Blacketer, C",0,1,13,5,19
"Kim, Y",2,0,14,3,19
"Banda, J",3,2,8,5,18
"Bathelt, F",1,2,1,14,18
"Golozar, A",3,0,14,1,18
"Spotnitz, M",4,0,13,1,18
"Kahn, M",2,0,6,9,17
"Reinecke, I",1,4,1,11,17
"Yoo, S",3,0,8,6,17
"Areia, C",3,0,13,0,16
"Boland, M",6,0,7,3,16
"Prats-Uribe, A",2,0,14,0,16
"Fernandez-Bertolin, S",2,1,11,1,15
"Huser, V",1,2,6,6,15
"Lai, L",5,0,10,0,15
"Posada, J",1,1,13,0,15
"Defalco, F",2,2,7,3,14
"Lee, D",0,1,10,3,14
"Minty, E",6,0,7,1,14
"Pratt, N",5,1,6,2,14
"Schilling, L",0,0,12,2,14
"Alghoul, H",0,0,13,0,13
"Jiang, G",1,2,0,10,13
"Peng, Y",0,2,0,11,13
"Shoaibi, A",3,0,10,0,13
"Williams, R",7,2,3,1,13
"Zhang, L",2,0,11,0,13
"Alser, O",0,0,12,0,12
"Chute, C",4,0,4,4,12
"Kim, K",1,0,8,3,12
"Lee, J",3,1,6,2,12
"Lee, K",0,0,11,1,12
"Voss, E",3,0,3,6,12
"Zoch, M",1,2,0,9,12
"Casajust, P",2,0,9,0,11
"Haendel, M",4,0,4,3,11
"Hartzema, A",7,0,1,3,11
"Henke, E",1,1,0,9,11
"Kim, H",0,0,8,3,11
"Lee, H",1,0,7,3,11
"Liu, H",5,2,1,3,11
"Makadia, R",1,1,7,2,11
"Pfaff, E",3,0,4,4,11
"Rao, G",4,1,6,0,11
"Stang, P",5,1,1,4,11
"Swerdel, J",6,2,3,0,11
"Xu, H",3,1,3,4,11
"Aragon, M",2,0,7,1,10
"Duke, J",2,3,2,3,10
"Kim, C",3,2,2,3,10
"Lane, J",1,0,9,0,10
"Li, X",6,1,2,1,10
"Roel, E",0,0,9,1,10
"Weaver, J",1,0,9,0,10
"Ahmed, W",0,0,9,0,9
"Baek, H",1,0,4,4,9
"Cho, J",0,1,5,3,9
"Dawoud, D",0,1,7,1,9
"Hardin, J",3,1,5,0,9
"Jonnagaddala, J",3,0,4,2,9
"Kolde, R",2,2,3,2,9
"Lee, Y",1,0,4,4,9
"Moffitt, R",4,0,4,1,9
"Park, S",0,0,5,4,9
"Park, Y",1,1,5,2,9
"Prokosch, H",0,5,0,4,9
"Recalde, M",0,0,8,1,9
"Seager, S",0,0,8,1,9
"Ta, C",4,1,2,2,9
"Vizcaya, D",1,1,7,0,9
"Zhang, X",2,0,4,3,9
"Butler, A",5,1,1,1,8
"Callahan, T",1,0,2,5,8
"Cho, S",1,0,2,5,8
"Choi, B",2,0,4,2,8
"Choi, J",2,0,3,3,8
"Fortin, S",3,0,4,1,8
"Gong, M",0,0,8,0,8
"Li, J",2,1,2,3,8
"Meeker, D",0,1,1,6,8
"Park, K",0,0,6,2,8
"Pistillo, A",0,0,7,1,8
"Seo, S",1,0,7,0,8
"Subbian, V",0,0,8,0,8
"Yu, Y",1,0,0,7,8
"Zhang, Y",2,1,3,2,8
"Arshad, F",5,0,2,0,7
"Bennett, T",3,0,2,2,7
"Chen, R",2,0,3,2,7
"Choi, S",0,0,2,5,7
"Denny, J",1,1,1,4,7
"Jeon, H",2,0,3,2,7
"Lamer, A",0,1,0,6,7
"McMurry, J",2,0,4,1,7
"Murphy, S",1,1,0,5,7
"Overhage, J",4,0,0,3,7
"Shah, K",0,0,7,0,7
"Shang, N",3,2,0,2,7
"Shin, W",0,0,7,0,7
"van der Lei, J",3,1,1,2,7
"Abrahao, M",2,0,4,0,6
"Boyce, R",1,1,1,3,6
"Bradwell, K",2,0,3,1,6
"Brown, J",0,1,0,5,6
"Bu, F",3,0,3,0,6
"Carroll, R",0,1,2,3,6
"Choi, Y",2,0,4,0,6
"Conover, M",1,0,5,0,6
"Davydov, A",0,0,3,3,6
"Dorr, D",1,0,3,2,6
"Dymshyts, D",0,0,1,5,6
"Girvin, A",3,0,2,1,6
"Hong, S",2,0,2,2,6
"Kaas-Hansen, B",2,0,4,0,6
"Kim, B",0,0,5,1,6
"Krumholz, H",1,0,5,0,6
"Li, Y",2,1,1,2,6
"Liaw, S",3,0,0,3,6
"Liu, C",2,0,1,3,6
"Man, K",1,0,3,2,6
"Mayer, M",1,1,2,2,6
"Mehta, P",0,0,6,0,6
"Nagy, P",1,0,3,2,6
"Oh, S",1,0,1,4,6
"Oja, M",1,1,2,2,6
"Park, D",1,1,2,2,6
"Sturkenboom, M",2,0,1,3,6
"Verhamme, K",2,1,3,0,6
"Wei, W",1,0,0,5,6
"Wong, I",1,1,2,2,6
"Belenkaya, R",1,0,0,4,5
"Bissell, M",2,0,1,2,5
"Blasini, R",0,5,0,0,5
"Chen, J",1,1,1,2,5
"Chen, Y",4,0,0,1,5
"Choi, I",0,0,2,3,5
"Chung, Y",0,0,5,0,5
"Coloma, P",3,0,0,2,5
"Denaxas, S",1,0,2,2,5
"Dudley, J",0,1,4,0,5
"Gabriel, D",1,0,1,3,5
"Gini, R",1,0,1,3,5
"Horban, S",0,0,4,1,5
"Hughes, N",1,1,2,1,5
"Hwang, H",0,0,3,2,5
"Jang, J",0,0,4,1,5
"Jung, C",0,0,5,0,5
"Khalid, S",0,1,3,1,5
"Kim, T",0,0,4,1,5
"Kolovos, S",0,0,5,0,5
"Lambert, C",0,0,4,1,5
"Lehmann, H",2,0,1,2,5
