pmid,year,title,category
20945505,2011,Methods for drug safety signal detection in longitudinal observational databases: LGPS and LEOPARD.,Methodological research
21041580,2010,Advancing the science for active surveillance: rationale and design for the Observational Medical Outcomes Partnership.,Methodological research
22037893,2012,Validation of a common data model for active safety surveillance research.,Open community data standards
22262596,2012,Mini-Sentinel's systematic reviews of validated methods for identifying health outcomes using administrative and claims data: methods and lessons learned.,Methodological research
22683994,2012,Evaluation of alternative standardized terminologies for medical conditions within a network of observational healthcare databases.,Open community data standards
23015364,2012,Empirical assessment of methods for risk identification in healthcare data: results from the experiments of the Observational Medical Outcomes Partnership.,Methodological research
23329543,2013,An evaluation of the THIN database in the OMOP Common Data Model for active drug safety surveillance.,Open community data standards
23396660,2013,Applying standardized drug terminologies to observational healthcare databases: a case study on opioid exposure.,Open community data standards
23408560,2013,Statistical visualization for assessing performance of methods for safety surveillance using electronic databases.,Methodological research
23413214,2013,Comment on 'empirical assessment of methods for risk identification in healthcare data: results from the experiments of the Observational Medical Outcomes Partnership'.,Methodological research
23571771,2013,Performance of pharmacovigilance signal-detection algorithms for the FDA adverse event reporting system.,Methodological research
23774519,2013,Identifying appropriate reference data models for comparative effectiveness research (CER) studies based on data from clinical information systems.,Open community data standards
23900808,2014,Interpreting observational studies: why empirical calibration is needed to correct p-values.,Methodological research
24068252,2014,Discussion: An estimate of the science-wise false discovery rate and application to the top medical literature.,Methodological research
24166220,2013,Variation in choice of study design: findings from the Epidemiology Design Decision Inventory and Evaluation (EDDIE) survey.,Methodological research
24166222,2013,Defining a reference set to support methodological research in drug safety.,Methodological research
24166223,2013,Managing data quality for a drug safety surveillance system.,Open community data standards
24166224,2013,Empirical performance of a new user cohort method: lessons for developing a risk identification and analysis system.,Methodological research
24166227,2013,Empirical performance of a self-controlled cohort method: lessons for developing a risk identification and analysis system.,Methodological research
24166231,2013,A comparison of the empirical performance of methods for a risk identification system.,Methodological research
24166232,2013,Replication of the OMOP experiment in Europe: evaluating methods for risk identification in electronic health record databases.,Methodological research
24166233,2013,Evaluating performance of risk identification methods through a large-scale simulation of observational data.,Methodological research
24166234,2013,Alternative outcome definitions and their effect on the performance of methods for observational outcome studies.,Methodological research
24166235,2013,The impact of drug and outcome prevalence on the feasibility and performance of analytical methods for a risk identification and analysis system.,Methodological research
24192967,2013,Tamsulosin treatment for benign prostatic hyperplasia and risk of severe hypotension in men aged 40-85 years in the United States: risk window analyses using between and within patient methodology.,Clinical evidence generation
24235108,2013,Adverse drug effect detection.,Methodological research
24551366,2013,Desiderata for healthcare integrated data repositories based on architectural comparison of three public repositories.,Open community data standards
24635221,2014,Combining multiple healthcare databases for postmarketing drug and vaccine safety surveillance: why and how?,Methodological research
24685766,2016,Detecting adverse drug reactions following long-term exposure in longitudinal observational data: The exposure-adjusted self-controlled case series.,Methodological research
24713590,2014,Toward enhanced pharmacovigilance using patient-generated data on the internet.,Methodological research
24985530,2014,Bridging islands of information to establish an integrated knowledge base of drugs and health outcomes of interest.,Open community data standards
25024761,2014,A distribution-based method for assessing the differences between clinical trial target populations and patient populations in electronic health records.,Methodological research
25083251,2013,Does design matter? Systematic evaluation of the impact of analytical choices on effect estimates in observational studies.,Methodological research
25187016,2014,Fidelity assessment of a clinical practice research datalink conversion to the OMOP common data model.,Open community data standards
